;Mot;Définition (niveau A2);English Term;Definition (A2 Level English)
;Contrat de travail;Papier ou email qui dit ce que le salarié doit faire, combien il gagne, et les règles pour l’employeur et le salarié.;Employment contract;A paper or email that says what the employee must do, how much they earn, and the rules for the employer and employee.
;Avenant;Papier qui change quelque chose dans le contrat (ex. : nouveaux horaires, nouveau salaire). Les deux parties doivent signer.;Amendment;A paper that changes something in the contract (e.g., new hours, new salary). Both parties must sign it.
;Signature;"Acte où l’employeur et le salarié écrivent leur nom pour dire ""d’accord"" sur le contrat ou un changement. Peut se faire par email.";Signature;When the employer and employee write their names to agree on the contract or a change. It can be done by email.
;Écrit;Le contrat doit être sur papier ou par email. C’est obligatoire pour la plupart des emplois à domicile.;Written form;The contract must be on paper or by email. It is mandatory for most home-based jobs.
;Objet;Le travail que le salarié doit faire (ex. : garder un enfant, faire le ménage). C’est écrit dans le contrat.;Purpose;The work the employee must do (e.g., babysitting, cleaning). It is written in the contract.
;CDI;Contrat sans date de fin. Le salarié travaille jusqu’à ce qu’il parte ou soit licencié.;Permanent contract (CDI);A contract with no end date. The employee works until they leave or are dismissed.
;CDD;Contrat avec une date de fin (ex. : pour remplacer quelqu’un). Il faut une bonne raison pour faire un CDD.;Fixed-term contract (CDD);A contract with an end date (e.g., to replace someone). There must be a good reason for a fixed-term contract.
;Période d’essai;Temps au début du contrat pour voir si le travail convient. Si ça ne va pas, on peut arrêter sans payer d’indemnité.;Trial period;Time at the start of the contract to see if the job is suitable. If it doesn’t work out, the contract can be ended without paying compensation.
;Forme;Comment le contrat est fait : sur papier, par email ou avec une signature électronique.;Format;How the contract is made: on paper, by email, or with an electronic signature.
;Mentions obligatoires;Informations importantes qui doivent être dans le contrat (ex. : nom, salaire, horaires, lieu de travail).;Mandatory details;Important information that must be in the contract (e.g., name, salary, hours, workplace).
;Immatriculation;L’employeur doit s’inscrire à l’URSSAF (ou à la MSA pour les agriculteurs) avant d’embaucher quelqu’un.;Registration;The employer must sign up with URSSAF (or MSA for farmers) before hiring someone.
;Modèle indicatif;Exemple de contrat pour aider à le rédiger. On peut l’utiliser, mais ce n’est pas obligatoire.;Sample contract;An example contract to help write one. You can use it, but it’s not mandatory.
;Lettre d’engagement;Papier signé avant le contrat pour dire qu’on va travailler ensemble. Pas obligatoire, mais utile.;Letter of intent;A paper signed before the contract to say you will work together. Not mandatory, but useful.
;Salarié;Personne qui travaille pour un employeur (ex. : assistante maternelle, femme de ménage) et reçoit un salaire.;Employee;A person who works for an employer (e.g., childminder, cleaner) and receives a salary.
;Employeur;Personne qui embauche un salarié pour travailler chez elle (ex. : parent qui embauche une baby-sitter).;Employer;A person who hires an employee to work in their home (e.g., a parent hiring a babysitter).
;Engagements;Ce que l’employeur et le salarié promettent de faire (ex. : l’employeur paie, le salarié travaille).;Commitments;What the employer and employee promise to do (e.g., the employer pays, the employee works).
;Obligations;Ce que l’employeur et le salarié doivent faire par la loi (ex. : déclarer le salarié, respecter les horaires).;Obligations;What the employer and employee must do by law (e.g., declare the employee, respect working hours).
;Confidentialité;Le salarié ne doit pas parler des informations privées de l’employeur ou de sa famille.;Confidentiality;The employee must not share private information about the employer or their family.
;Autorisation de travail;Papier qui prouve qu’une personne étrangère (hors Europe) a le droit de travailler en France. L’employeur doit le vérifier.;Work permit;A paper that proves a foreigner (outside Europe) has the right to work in France. The employer must check it.
;Déclaration;L’employeur doit dire à l’URSSAF ou à la MSA qu’il a embauché un salarié, dans les délais.;Declaration;The employer must tell URSSAF or MSA that they have hired an employee, within the deadlines.
;Agrément;Papier officiel qui permet à une assistante maternelle de garder des enfants chez elle. Sans ça, elle ne peut pas travailler.;Approval (Agrément);Official paper that allows a childminder to look after children at their home. Without it, they cannot work.
;Assurance;Protection obligatoire pour les accidents ou problèmes liés au travail (ex. : assurance pour la voiture si on transporte des enfants).;Insurance;Mandatory protection for accidents or problems related to work (e.g., car insurance if transporting children).
;Consignes;Règles données par l’employeur (ex. : comment emmener l’enfant à l’école, que faire en cas d’urgence).;Instructions;Rules given by the employer (e.g., how to take the child to school, what to do in an emergency).
;Durée du travail;Temps pendant lequel le salarié travaille (ex. : 8 heures par jour, 40 heures par semaine).;Working hours;The time during which the employee works (e.g., 8 hours a day, 40 hours a week).
;Heures supplémentaires;Heures travaillées en plus des heures normales. Elles sont payées plus cher.;Overtime;Hours worked beyond the normal hours. They are paid more.
;Heures complémentaires;Heures en plus de celles prévues dans le contrat, mais sans dépasser le maximum autorisé.;Extra hours;Hours worked beyond those in the contract, but without exceeding the maximum allowed.
;Repos hebdomadaire;Temps de repos de 35 heures d’affilée entre deux semaines de travail (ex. : le dimanche).;Weekly rest;A rest period of 35 consecutive hours between two workweeks (e.g., Sunday).
;Jours fériés;Jours où on ne travaille pas normalement (ex. : 1er mai, Noël). Si on travaille, on est payé plus.;Public holidays;Days when people usually don’t work (e.g., May 1st, Christmas). If you work, you get paid more.
;Salaire;Argent que l’employeur donne au salarié pour son travail. Peut être payé à l’heure ou par mois.;Salary;Money the employer gives the employee for their work. It can be paid hourly or monthly.
;Mensualisation;Méthode pour payer le même salaire chaque mois, même si les heures changent.;Monthly salary;A method to pay the same salary every month, even if the hours change.
;Indemnités;Argent en plus du salaire pour couvrir des frais (ex. : essence pour la voiture, repas).;Allowances;Extra money besides the salary to cover expenses (e.g., gas for the car, meals).
;Majoration;Augmentation du salaire pour les heures supplémentaires ou les jours fériés travaillés.;Bonus;An increase in salary for overtime or working on public holidays.
;Prestations en nature;Avantages autres que l’argent (ex. : repas, logement). Leur valeur est enlevée du salaire.;Benefits in kind;Advantages other than money (e.g., meals, housing). Their value is deducted from the salary.
;Frais d’entretien;Argent donné à l’assistante maternelle pour payer les dépenses liées à l’enfant (ex. : jeux, électricité). Minimum : 2,65 € par jour.;Childcare expenses;Money given to the childminder to cover child-related costs (e.g., toys, electricity). Minimum: €2.65 per day.
;Congés payés;Jours de repos payés. Le salarié en a 2,5 par mois travaillé. Il doit les prendre entre mai et octobre si possible.;Paid leave;Paid days off. The employee gets 2.5 days per month worked. They should be taken between May and October if possible.
;Fractionnement;Possibilité de prendre ses congés en plusieurs fois. Si on en prend hors de la période normale, on peut avoir des jours en plus.;Split leave;Possibility to take paid leave in several parts. If taken outside the normal period, you may get extra days.
;Indemnité de congés;Argent donné si le salarié n’a pas pris tous ses congés à la fin du contrat.;Leave allowance;Money given if the employee hasn’t taken all their paid leave by the end of the contract.
;Absence;Quand le salarié ne vient pas travailler. Si c’est pour une bonne raison (maladie), il peut être payé.;Absence;When the employee does not come to work. If it’s for a good reason (illness), they may still be paid.
;Maladie;Quand le salarié est malade et ne peut pas travailler. Il doit donner un papier du médecin dans les 48 heures.;Illness;When the employee is sick and cannot work. They must provide a doctor’s note within 48 hours.
;Accident du travail;Blessure ou problème de santé qui arrive pendant le travail. L’employeur doit le déclarer.;Work accident;Injury or health problem that happens during work. The employer must report it.
;Congé maternité;Temps où une femme arrête de travailler avant et après la naissance de son bébé. Elle est payée par la Sécurité sociale.;Maternity leave;Time when a woman stops working before and after giving birth. She is paid by Social Security.
;Congé paternité;Temps où le père (ou le conjoint) arrête de travailler après la naissance. Durée : 25 jours.;Paternity leave;Time when the father (or partner) stops working after the birth. Duration: 25 days.
;Congé adoption;Temps où le salarié arrête de travailler quand il adopte un enfant. Durée : 16 semaines (enfant < 3 ans).;Adoption leave;Time when the employee stops working when they adopt a child. Duration: 16 weeks (child < 3 years old).
;Congé parental;Temps où le salarié arrête de travailler pour s’occuper de son enfant (moins de 16 ans). Durée : jusqu’à 3 ans. Non payé.;Parental leave;Time when the employee stops working to take care of their child (under 16). Duration: up to 3 years. Not paid.
;Ancienneté;Temps pendant lequel le salarié a travaillé pour le même employeur. Ça compte pour les congés et les indemnités.;Seniority;The time an employee has worked for the same employer. It counts for leave and compensation.
;Rupture;Fin du contrat de travail (ex. : licenciement, démission, fin de CDD).;Termination;End of the employment contract (e.g., dismissal, resignation, end of fixed-term contract).
;Préavis;Temps entre l’annonce de la fin du contrat et la fin réelle. Ex. : 1 mois si le salarié a travaillé 1 an.;Notice period;Time between announcing the end of the contract and the actual end. Example: 1 month if the employee has worked for 1 year.
;Faute grave;Erreur très sérieuse du salarié (ex. : vol, danger pour l’enfant). L’employeur peut rompre le contrat tout de suite, sans préavis ni indemnité.;Gross misconduct;A very serious mistake by the employee (e.g., theft, endangering a child). The employer can end the contract immediately, without notice or compensation.
;Licenciement;L’employeur arrête le contrat. Il doit avoir une bonne raison et suivre une procédure (ex. : entretien, lettre).;Dismissal;The employer ends the contract. They must have a good reason and follow a procedure (e.g., meeting, letter).
;Démission;Le salarié arrête le contrat. Il doit prévenir à l’avance (préavis).;Resignation;The employee ends the contract. They must give notice in advance.
;Indemnité de rupture;Argent donné au salarié quand le contrat se termine (sauf si c’est une faute grave). Ça dépend de son ancienneté.;Severance pay;Money given to the employee when the contract ends (except for gross misconduct). It depends on their seniority.